Event	ID	Name			Wwise Object Path	Notes
	278617630	Play_Ambience			\Default Work Unit\Play_Ambience	
	479606568	Play_ButtonHover			\Default Work Unit\Play_ButtonHover	
	860775431	Play_ButtonBack			\Default Work Unit\Play_ButtonBack	
	1068092414	Player_Hurt			\Default Work Unit\Player_Hurt	
	1205999388	Enemy_Death			\Default Work Unit\Enemy_Death	
	1305133589	Player_Jump			\Default Work Unit\Player_Jump	
	1324413170	TestMusic			\Default Work Unit\TestMusic	
	1526102535	Enemy_Spawn			\Default Work Unit\Enemy_Spawn	
	2453392179	Player_Footstep			\Default Work Unit\Player_Footstep	
	2477713992	Stop_Ambience			\Default Work Unit\Stop_Ambience	
	2574533045	Play_CrossbowReload			\Default Work Unit\Play_CrossbowReload	
	2971505500	Play_AirplaneLauncher			\Default Work Unit\Play_AirplaneLauncher	
	3083087645	Player_Death			\Default Work Unit\Player_Death	
	3092211194	Explosion_Laser			\Default Work Unit\Explosion_Laser	
	3159718618	Play_ButtonSelect			\Default Work Unit\Play_ButtonSelect	
	3991482221	Stop_TestMusic			\Default Work Unit\Stop_TestMusic	
	4285763406	Play_Crossbow			\Default Work Unit\Play_Crossbow	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	550157343	crossbow_fire_2	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\crossbow_fire_2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerAttacks\Crossbow\crossbow_fire_2		271612
	564887950	crossbow_fire_1	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\crossbow_fire_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerAttacks\Crossbow\crossbow_fire_1		271612
	601987283	CrossbowReload	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\crossbow_reload_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerAttacks\CrossbowReload		489252
	633933615	player_jump	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\Paper, Crumbled And Tossed On Floor, Heavy SND4136 2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerMovement\PlayerJump\player_jump		42158
	638271342	footstep_1	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\Footsteps, Dirt, Walking SND17386 1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerMovement\PlayerFootstep\footstep_1		65664
	658847440	Explosion1	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\Explosion1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\TestSounds\Explosion Sound\Booms\Explosion1		648308
	678537110	wind_gust	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\wind_gust_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerAttacks\AirplaneLauncher\wind_gust		158352
	702624185	footstep_3	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\Footsteps, Dirt, Walking SND17386 3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerMovement\PlayerFootstep\footstep_3		70540
	778792044	pop	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\airplane_launcher_fire_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerAttacks\AirplaneLauncher\pop		82076
	825500729	Ambience	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\ambience_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience		6236284
	866153004	PlayerDeath	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\player_death_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerDeath\PlayerDeath		489252
	890613456	synth_track	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\synth_track_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\TestMusic\synth_track		2822488
	905657606	Laser3	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\Laser3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\TestSounds\Explosion Sound\Lasers\Laser3		531084
	927845912	crossbow_fire_4	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\crossbow_fire_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerAttacks\Crossbow\crossbow_fire_4		271612
	939112826	ButtonHover	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\ButtonHover_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UISFX\ButtonHover		10992
	987537408	enemy_death	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\enemy_death_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemyDeath\enemy_death		489252
	991570323	Laser2	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\Laser2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\TestSounds\Explosion Sound\Lasers\Laser2		383344
	1015557116	hurt_3	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\Cartoon, Voice, High Pitched, Says Ouch 1 SND15460_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerHurt\hurt_3		73528
	1048363072	hurt_4	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\Cartoon, Voice, High Pitched, Says Ouch 2 SND15459_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerHurt\hurt_4		87368

